"Item.ID","Data_value","Units","Item","Year","Month_num","Month"
"CPIM.SAP0101",2.39,"Dollars","Bananas, 1kg",2008,3,"March"
"CPIM.SAP0101",2.44,"Dollars","Bananas, 1kg",2008,4,"April"
"CPIM.SAP0101",2.43,"Dollars","Bananas, 1kg",2008,5,"May"
"CPIM.SAP0101",2.37,"Dollars","Bananas, 1kg",2008,6,"June"
"CPIM.SAP0101",2.35,"Dollars","Bananas, 1kg",2008,7,"July"
"CPIM.SAP0101",2.43,"Dollars","Bananas, 1kg",2008,8,"August"
"CPIM.SAP0101",2.43,"Dollars","Bananas, 1kg",2008,9,"September"
"CPIM.SAP0101",2.58,"Dollars","Bananas, 1kg",2008,10,"October"
"CPIM.SAP0101",2.73,"Dollars","Bananas, 1kg",2008,11,"November"
"CPIM.SAP0101",2.71,"Dollars","Bananas, 1kg",2008,12,"December"
"CPIM.SAP0101",2.64,"Dollars","Bananas, 1kg",2009,1,"January"
"CPIM.SAP0101",2.74,"Dollars","Bananas, 1kg",2009,2,"February"
"CPIM.SAP0101",2.81,"Dollars","Bananas, 1kg",2009,3,"March"
"CPIM.SAP0101",2.97,"Dollars","Bananas, 1kg",2009,4,"April"
"CPIM.SAP0101",2.89,"Dollars","Bananas, 1kg",2009,5,"May"
"CPIM.SAP0101",2.92,"Dollars","Bananas, 1kg",2009,6,"June"
"CPIM.SAP0101",2.78,"Dollars","Bananas, 1kg",2009,7,"July"
"CPIM.SAP0101",2.79,"Dollars","Bananas, 1kg",2009,8,"August"
"CPIM.SAP0101",2.86,"Dollars","Bananas, 1kg",2009,9,"September"
"CPIM.SAP0101",2.8,"Dollars","Bananas, 1kg",2009,10,"October"
"CPIM.SAP0101",2.72,"Dollars","Bananas, 1kg",2009,11,"November"
"CPIM.SAP0101",2.83,"Dollars","Bananas, 1kg",2009,12,"December"
"CPIM.SAP0101",2.88,"Dollars","Bananas, 1kg",2010,1,"January"
"CPIM.SAP0101",2.86,"Dollars","Bananas, 1kg",2010,2,"February"
"CPIM.SAP0101",2.87,"Dollars","Bananas, 1kg",2010,3,"March"
"CPIM.SAP0101",2.79,"Dollars","Bananas, 1kg",2010,4,"April"
"CPIM.SAP0101",2.63,"Dollars","Bananas, 1kg",2010,5,"May"
"CPIM.SAP0101",2.6,"Dollars","Bananas, 1kg",2010,6,"June"
"CPIM.SAP0101",2.77,"Dollars","Bananas, 1kg",2010,7,"July"
"CPIM.SAP0101",2.79,"Dollars","Bananas, 1kg",2010,8,"August"
"CPIM.SAP0101",2.81,"Dollars","Bananas, 1kg",2010,9,"September"
"CPIM.SAP0101",2.86,"Dollars","Bananas, 1kg",2010,10,"October"
"CPIM.SAP0101",2.75,"Dollars","Bananas, 1kg",2010,11,"November"
"CPIM.SAP0101",2.8,"Dollars","Bananas, 1kg",2010,12,"December"
"CPIM.SAP0101",2.82,"Dollars","Bananas, 1kg",2011,1,"January"
"CPIM.SAP0101",2.85,"Dollars","Bananas, 1kg",2011,2,"February"
"CPIM.SAP0101",2.75,"Dollars","Bananas, 1kg",2011,3,"March"
"CPIM.SAP0101",2.62,"Dollars","Bananas, 1kg",2011,4,"April"
"CPIM.SAP0101",2.7,"Dollars","Bananas, 1kg",2011,5,"May"
"CPIM.SAP0101",2.7,"Dollars","Bananas, 1kg",2011,6,"June"
"CPIM.SAP0101",2.71,"Dollars","Bananas, 1kg",2011,7,"July"
"CPIM.SAP0101",2.13,"Dollars","Bananas, 1kg",2011,8,"August"
"CPIM.SAP0101",2.64,"Dollars","Bananas, 1kg",2011,9,"September"
"CPIM.SAP0101",2.81,"Dollars","Bananas, 1kg",2011,10,"October"
"CPIM.SAP0101",2.77,"Dollars","Bananas, 1kg",2011,11,"November"
