"objectid","basic_colour","body_type","cc_rating","chassis7","first_nz_registration_year","first_nz_registration_month","gross_vehicle_mass","height","import_status","make","model","motive_power","number_of_axles","number_of_seats","nz_assembled","original_country","power_rating","previous_country","road_transport_code","submodel","TLA","transmission_type","vdam_weight","vehicle_type","vehicle_usage","vehicle_year"
13753,"red","convertible",4297,"",2010,3,1735,0,"new","Ferrari","California","petrol",2,4,"imported built-up","Italy",338,"None","","","Auckland","7-gear manual",0,"passenger car/van","private passenger",2010
13754,"silver","domestic trailer",0,"ht3217",2012,7,1250,0,"new","Trailer","Factory Built","",1,0,"nz assembled/built","New Zealand",0,"None","","","Palmerston North City","",0,"trailer/caravan","other goods",2012
13755,"white","saloon",3564,"",2011,11,0,0,"new","Holden","Commodore","petrol",2,5,"imported built-up","Australia",210,"None","","sv6 sdn at","Tasman District","6-gear auto",0,"passenger car/van","private passenger",2011
13756,"grey","saloon",3564,"",2012,4,0,0,"new","Holden","Commodore","petrol",2,5,"imported built-up","Australia",210,"None","","sv6 sdn at","Masterton District","6-gear auto",0,"passenger car/van","private passenger",2012
13757,"silver","saloon",2170,"",2011,7,1715,0,"used","Bmw","320","petrol",0,5,"imported built-up","Germany",0,"Japan","","i","Hamilton City","",0,"passenger car/van","private passenger",2005
13758,"silver","hatchback",1490,"bj5w-30",2009,9,1405,0,"used","Mazda","Familia","petrol",2,5,"imported built-up","Japan",0,"Japan","","","Dunedin City","",0,"passenger car/van","private passenger",2001
13759,"black","station wagon",1998,"aca20-0",2010,5,1520,0,"used","Toyota","Rav4","petrol",2,4,"imported built-up","Japan",0,"Japan","","j","Marlborough District","",0,"passenger car/van","private passenger",2000
13760,"silver","saloon",2349,"j31-025",2011,11,1725,0,"used","Nissan","Teana","petrol",0,5,"imported built-up","Japan",0,"Japan","","230 jr","Auckland","",0,"passenger car/van","private passenger",2004
13761,"silver","hatchback",1298,"",2011,12,1490,0,"new","Toyota","Yaris","petrol",2,5,"imported built-up","Japan",63,"None","","yr 1.3p hatch5 4a","Auckland","4-gear auto",0,"passenger car/van","private passenger",2011
13762,"black","hatchback",1364,"",2012,6,0,0,"new","Holden","Cruze","petrol",2,5,"imported built-up","Australia",103,"None","","sri v hb 1.4t mt","Porirua City","6-gear manual",0,"passenger car/van","private passenger",2012
13763,"grey","hatchback",2489,"",2010,2,1932,0,"new","Mazda","Mazda6","petrol",2,5,"imported built-up","Japan",125,"None","","sport ltd 2.5 5 at","Auckland","5-gear auto",0,"passenger car/van","private passenger",2010
13764,"grey","boat trailer",0,"",1998,10,0,0,"new","Trailer","Boat","",2,0,"nz assembled/built","New Zealand",0,"None","","","Waimakariri District","",0,"trailer/caravan","other goods",1998
13765,"black","saloon",2359,"",2009,11,1957,0,"new","Hyundai","Sonata","petrol",2,5,"imported built-up","South Korea",126,"None","","2.4 elite a5","Auckland","5-gear auto",0,"passenger car/van","private passenger",2009
13766,"white","saloon",1364,"",2012,3,0,0,"new","Holden","Cruze","petrol",2,5,"imported built-up","Australia",103,"None","","sri v sdn 1.4t at","Marlborough District","6-gear auto",0,"passenger car/van","private passenger",2012
13767,"black","utility",2953,"",2009,8,2899,0,"new","Mazda","Bt-50","diesel",2,5,"imported built-up","Thailand",115,"None","","d/cab w/s 2wd sdx","South Taranaki District","5-gear manual",0,"goods van/truck/utility","private passenger",2009
13768,"silver","saloon",1998,"",2010,11,1850,0,"new","Mitsubishi","Lancer","petrol",0,5,"imported built-up","Japan",115,"None","","2.0p sx sedan auto","Wellington City","continuously variable",0,"passenger car/van","private passenger",2010
13769,"red","hatchback",1496,"ncp13-0",2012,7,1255,0,"used","Toyota","Vitz","petrol",0,5,"imported built-up","Japan",0,"Japan","","rs","Tauranga City","",0,"passenger car/van","private passenger",2004
13770,"grey","domestic trailer",0,"",1997,5,0,0,"new","Trailer","Home-made","",2,0,"nz assembled/built","New Zealand",0,"None","","","Christchurch City","",0,"trailer/caravan","other goods",1997
